# timestamps [seconds],pts
753888.946830,0
753889.074134,8342
753889.112134,10833
753889.135453,12361
753889.155377,13667
753889.173141,14831
753889.191478,16033
753889.210773,17297
753889.228923,18486
753889.246352,19629
753889.264353,20808
753889.283561,22067
753889.305936,23534
753889.325795,24835
753889.347171,26236
753889.365747,27453
753889.383720,28631
753889.404498,29993
753889.424348,31294
753889.443720,32563
753889.454652,33280
753889.474451,34577
753889.492950,35789
753889.511365,36996
753889.529688,38197
753889.547385,39357
753889.568664,40751
753889.589419,42112
753889.607857,43320
753889.626120,44517
753889.645328,45776
753889.665260,47082
753889.686307,48461
753889.707210,49831
753889.727487,51160
753889.747737,52487
753889.772741,54126
753889.793523,55488
753889.812600,56738
753889.834003,58140
753889.859252,59795
753889.883064,61356
753889.907488,62956
753889.928859,64357
753889.948441,65640
753889.967722,66904
753889.990851,68419
753890.010721,69722
753890.028276,70872
753890.045200,71981
753890.058631,72861
753890.074828,73923
753890.094690,75225
753890.111340,76316
753890.126791,77328
753890.145123,78530
753890.162008,79636
753890.181703,80927
753890.201496,82224
753890.219445,83400
753890.226639,83872
753890.242929,84939
753890.259143,86002
753890.278887,87296
753890.299331,88636
753890.316101,89735
753890.338343,91192
753890.354954,92281
753890.374927,93590
753890.391682,94688
753890.411242,95970
753890.428688,97113
753890.446781,98299
753890.463501,99395
753890.478700,100391
753890.495147,101468
753890.510702,102488
753890.526933,103552
753890.546744,104850
753890.562986,105914
753890.578989,106963
753890.595079,108017
753890.610729,109043
753890.630951,110368
753890.648873,111543
753890.664854,112590
753890.678739,113500
753890.694667,114544
753890.714829,115865
753890.730781,116911
753890.746888,117966
753890.763177,119034
753890.778913,120065
753890.794890,121112
753890.814819,122418
753890.836576,123844
753890.857338,125205
753890.874497,126329
753890.892967,127540
753890.899598,127974
753890.914854,128974
753890.931217,130046
753890.949739,131260
753890.969261,132540
753890.987441,133731
753891.005583,134920
753891.024267,136144
753891.041486,137273
753891.058014,138356
753891.063652,138725
753891.083090,139999
753891.103304,141324
753891.124606,142720
753891.143102,143932
753891.164890,145360
753891.187263,146826
753891.209281,148269
753891.228685,149541
753891.246834,150730
753891.264320,151876
753891.283358,153124
753891.301524,154314
753891.319565,155497
753891.335104,156515
753891.351808,157610
753891.366828,158594
753891.385887,159843
753891.405343,161118
753891.421298,162164
753891.441074,163460
753891.460585,164738
753891.479834,166000
753891.525716,169007
753891.552541,170765
753891.569222,171858
753891.582831,172750
753891.602513,174040
753891.619090,175126
753891.639499,176464
753891.657712,177657
753891.675871,178847
753891.693918,180030
753891.702763,180610
753891.719726,181721
753891.739848,183040
753891.758492,184262
753891.775745,185392
753891.794214,186603
753891.803108,187186
753891.818717,188209
753891.835309,189296
753891.853340,190478
753891.870923,191630
753891.889194,192827
753891.907083,194000
753891.923749,195092
753891.943705,196400
753891.962992,197664
753891.982502,198942
753892.001584,200193
753892.019161,201345
753892.039498,202677
753892.057075,203829
753892.073876,204930
753892.092613,206158
753892.112441,207458
753892.132613,208780
753892.152433,210079
753892.171864,211352
753892.190154,212551
753892.202945,213389
753892.223296,214723
753892.240384,215843
753892.255054,216804
753892.272212,217928
753892.286955,218895
753892.306321,220164
753892.325766,221438
753892.339176,222317
753892.357676,223529
753892.376006,224731
753892.393684,225889
753892.412361,227113
753892.431619,228375
753892.448639,229491
753892.467752,230743
753892.486006,231939
753892.493256,232415
753892.507604,233355
753892.524751,234479
753892.541354,235567
753892.559107,236730
753892.577668,237946
753892.597533,239248
753892.614351,240350
753892.635862,241760
753892.655793,243066
753892.674874,244317
753892.691832,245428
753892.711651,246727
753892.729378,247889
753892.746414,249005
753892.766384,250314
753892.785330,251556
753892.804132,252788
753892.820017,253829
753892.879875,257752
753892.912046,259860
753892.929870,261028
753892.942932,261884
753892.961414,263095
753892.980430,264341
753892.990769,265019
753893.007320,266104
753893.026651,267371
753893.043466,268473
753893.061396,269648
753893.074807,270526
753893.091857,271644
753893.110855,272889
753893.128025,274014
753893.146990,275257
753893.158941,276040
753893.175630,277134
753893.191763,278191
753893.210912,279446
753893.228335,280588
753893.247470,281842
753893.265196,283004
753893.274932,283642
753893.294893,284950
753893.315074,286272
753893.336640,287686
753893.357113,289027
753893.376069,290270
753893.396782,291627
753893.414865,292812
753893.432872,293992
753893.442803,294643
753893.458802,295692
753893.479027,297017
753893.499352,298349
753893.516280,299458
753893.536837,300806
753893.555009,301997
753893.573958,303238
753893.592447,304450
753893.612513,305765
753893.632224,307057
753893.646977,308024
753893.667229,309351
753893.688055,310716
753893.708069,312027
753893.727150,313278
753893.733147,313671
753893.751840,314896
753893.773386,316308
753893.795429,317752
753893.815037,319037
753893.832440,320178
753893.853933,321586
753893.871582,322743
753893.891455,324045
753893.909304,325215
753893.926639,326351
753893.944196,327502
753893.965643,328907
753893.985763,330226
753894.008129,331692
753894.025920,332858
753894.044918,334103
753894.064794,335405
753894.084102,336671
753894.102367,337868
753894.114829,338684
753894.132379,339834
753894.152407,341147
753894.173467,342527
753894.228509,346134
753894.258132,348076
753894.278922,349438
753894.299259,350771
753894.320254,352147
753894.341491,353539
753894.359960,354749
753894.378226,355946
753894.398178,357254
753894.419368,358642
753894.439731,359977
753894.460183,361317
753894.480219,362630
753894.501203,364005
753894.521235,365318
753894.540350,366571
753894.551028,367271
753894.571514,368613
753894.591553,369926
753894.609681,371114
753894.629789,372432
753894.651351,373845
753894.672109,375206
753894.691621,376484
753894.712274,377838
753894.732111,379138
753894.753415,380534
753894.773563,381854
753894.791339,383019
753894.810324,384264
753894.829567,385525
753894.836342,385969
753894.853025,387062
753894.872514,388339
753894.887024,389290
753894.905597,390507
753894.918987,391385
753894.939080,392702
753894.959279,394025
753894.978041,395255
753894.987104,395849
753895.004789,397008
753895.024580,398305
753895.044969,399641
753895.065342,400976
753895.083658,402177
753895.104323,403531
753895.124237,404836
753895.143923,406126
753895.167502,407671
753895.186954,408946
753895.207028,410262
753895.225630,411481
753895.238687,412336
753895.255140,413415
753895.274107,414658
753895.293173,415907
753895.314267,417289
753895.335439,418677
753895.356187,420037
753895.375521,421304
753895.394977,422579
753895.413147,423770
753895.432251,425022
753895.452113,426323
753895.471228,427576
753895.490952,428869
753895.510122,430125
753895.529031,431364
753895.607527,436508
753895.641311,438722
753895.661772,440063
753895.680958,441321
753895.701431,442662
753895.720588,443918
753895.740258,445207
753895.759114,446443
753895.779550,447782
753895.799469,449087
753895.820649,450475
753895.837819,451600
753895.856094,452798
753895.875413,454064
753895.893381,455242
753895.906946,456131
753895.926977,457443
753895.943758,458543
753895.964101,459876
753895.983051,461118
753896.002148,462370
753896.022428,463699
753896.041190,464928
753896.060855,466217
753896.078919,467401
753896.090954,468190
753896.110153,469448
753896.127325,470573
753896.146499,471830
753896.165620,473083
753896.184787,474339
753896.208467,475891
753896.242804,478141
753896.262370,479423
753896.281673,480688
753896.303239,482102
753896.323991,483462
753896.345295,484858
753896.366181,486227
753896.388832,487711
753896.410472,489129
753896.431971,490538
753896.452002,491851
753896.475090,493364
753896.495514,494703
753896.516000,496045
753896.534580,497263
753896.553267,498487
753896.572330,499737
753896.592479,501057
753896.612152,502346
753896.632344,503670
753896.651061,504896
753896.670024,506139
753896.688369,507341
753896.708962,508691
753896.728843,509994
753896.747882,511241
753896.767314,512515
753896.786598,513779
753896.802077,514793
753896.820601,516007
753896.839615,517253
753896.856693,518372
753896.874170,519518
753896.891302,520640
753896.896923,521009
753896.911203,521945
753896.931128,523250
753896.947754,524340
753896.962783,525325
753896.979062,526392
753896.995674,527480
753897.014904,528741
753897.036988,530188
753897.055759,531418
753897.072887,532541
753897.078848,532931
753897.094828,533979
753897.115040,535303
753897.133395,536506
753897.146883,537390
753897.163493,538479
753897.180982,539625
753897.199400,540832
753897.216347,541942
753897.230782,542888
753897.248668,544060
753897.265801,545183
753897.282799,546297
753897.298887,547352
753897.319614,548710
753897.330848,549446
753897.347694,550550
753897.364369,551643
753897.382831,552853
753897.401513,554077
753897.414855,554952
753897.434304,556226
753897.453290,557470
753897.473107,558769
753897.489745,559859
753897.509127,561130
753897.526650,562278
753897.533139,562703
753897.550947,563870
753897.569302,565073
753897.582969,565969
753897.599065,567024
753897.617166,568210
753897.636308,569464
753897.654379,570649
753897.672268,571821
753897.691390,573074
753897.709358,574252
753897.728109,575481
753897.746053,576657
753897.765599,577938
753897.784990,579208
753897.803181,580400
753897.818964,581435
753897.834934,582481
753897.852946,583662
753897.867062,584587
753897.883820,585685
753897.902913,586936
753897.921631,588163
753897.938227,589251
753897.956589,590454
753897.976739,591775
753897.993634,592882
753898.013315,594172
753898.030433,595293
753898.048799,596497
753898.064651,597536
753898.082444,598702
753898.100256,599869
753898.120000,601163
753898.138490,602375
753898.157475,603619
753898.175660,604811
753898.187166,605565
753898.204553,606704
753898.221846,607838
753898.240946,609089
753898.258919,610267
753898.276524,611421
753898.287014,612108
753898.302953,613153
753898.321448,614365
753898.340679,615625
753898.359418,616853
753898.377970,618069
753898.398501,619415
753898.418916,620753
753898.439113,622076
753898.456402,623209
753898.475526,624463
753898.493321,625629
753898.510308,626742
753898.526592,627809
753898.545151,629025
753898.562182,630142
753898.580351,631332
753898.587261,631785
753898.603645,632859
753898.622957,634124
753898.639672,635220
753898.658549,636457
753898.674756,637519
753898.692026,638651
753898.709349,639786
753898.727293,640962
753898.746247,642204
753898.764613,643408
753898.782171,644559
753898.791038,645140
753898.807845,646241
753898.826079,647436
753898.846247,648758
753898.865778,650038
753898.886201,651376
753898.892412,651783
753898.908899,652864
753898.927002,654050
753898.945439,655258
753898.962921,656404
753898.975027,657197
753898.992390,658335
