# timestamps [seconds],pts
750440.720824,0
750440.775132,3559
750440.791504,4632
750440.800755,5238
750440.816805,6290
750440.832937,7347
750440.852766,8646
750440.868742,9693
750440.884821,10747
750440.900814,11795
750440.916824,12844
750440.936771,14152
750440.952841,15205
750440.968827,16252
750440.985312,17333
750441.000963,18358
750441.020732,19654
750441.036989,20719
750441.053970,21832
750441.068893,22810
750441.084659,23843
750441.104948,25173
750441.120749,26209
750441.137046,27277
750441.152745,28305
750441.168817,29359
750441.184929,30415
750441.205017,31731
750441.221252,32795
750441.236843,33817
750441.252845,34865
750441.269284,35943
750441.288859,37226
750441.304985,38282
750441.320664,39310
750441.337440,40409
750441.353026,41431
750441.372881,42732
750441.388569,43760
750441.405028,44839
750441.421463,45916
750441.436871,46926
750441.453033,47985
750441.472897,49287
750441.488858,50333
750441.505347,51413
750441.520869,52430
750441.537361,53511
750441.556842,54788
750441.572873,55839
750441.588835,56885
750441.605149,57954
750441.620848,58983
750441.640944,60300
750441.656740,61335
750441.672895,62393
750441.689644,63491
750441.704868,64489
750441.721091,65552
750441.741044,66860
750441.756904,67899
750441.774111,69027
750441.794722,70377
750441.804878,71043
750441.824972,72360
750441.845226,73687
750441.856899,74452
750441.873610,75547
750441.893438,76847
750441.910889,77990
750441.924799,78902
750441.941048,79967
750441.957691,81058
750441.976042,82260
750441.992830,83360
750442.009004,84420
750442.025115,85476
750442.040776,86503
750442.057491,87598
750442.073416,88642
750442.093399,89951
750442.108719,90955
750442.125487,92054
750442.143457,93232
750442.156829,94108
750442.177132,95439
750442.192764,96463
750442.209120,97535
750442.224781,98561
750442.241444,99653
750442.261087,100941
750442.280328,102202
750442.297057,103298
750442.311609,104252
750442.324904,105123
750442.341646,106220
750442.361012,107489
750442.377506,108570
750442.395667,109760
750442.410477,110731
750442.424801,111670
750442.444934,112989
750442.461434,114070
750442.476979,115089
750442.492847,116129
750442.509093,117194
750442.528913,118493
750442.544954,119544
750442.562231,120676
750442.580988,121905
750442.593037,122695
750442.609134,123750
750442.628929,125047
750442.645615,126141
750442.660909,127143
750442.677144,128207
750442.697189,129521
750442.712811,130544
750442.728948,131602
750442.744893,132647
750442.760866,133694
750442.776942,134747
750442.796831,136051
750442.818114,137445
750442.837853,138739
750442.845754,139257
750442.860885,140248
750442.880760,141551
750442.897073,142620
750442.913412,143691
750442.929271,144730
750442.944889,145754
750442.961183,146821
750442.981126,148128
750442.996908,149163
750443.013192,150230
750443.028848,151256
750443.047030,152447
750443.065027,153627
750443.081538,154709
750443.096843,155712
750443.113395,156797
750443.130601,157924
750443.148949,159127
750443.165337,160201
750443.182573,161330
750443.198158,162352
750443.212975,163323
750443.230306,164458
750443.249166,165694
750443.264961,166730
750443.281311,167801
750443.296808,168817
750443.312947,169874
750443.333143,171198
750443.352373,172458
750443.364862,173277
750443.380996,174334
750443.397133,175391
750443.416894,176686
750443.434649,177850
750443.448785,178776
750443.466712,179951
750443.480901,180881
750443.500993,182198
750443.517026,183249
750443.533161,184306
750443.551093,185481
750443.564954,186390
750443.582402,187533
750443.601202,188765
750443.619276,189950
750443.637014,191112
750443.654193,192238
750443.672177,193416
750443.684852,194247
750443.701099,195312
750443.716783,196340
750443.733299,197422
750443.752937,198709
750443.772002,199958
750443.791132,201212
750443.810394,202474
750443.818481,203004
750443.833534,203991
750443.850168,205081
750443.868846,206305
750443.885054,207367
750443.901972,208476
750443.921149,209733
750443.932902,210503
750443.952889,211813
750443.971514,213033
750443.991100,214317
750444.009146,215500
750444.016925,216009
750444.036962,217323
750444.056086,218576
750444.069051,219426
750444.085390,220496
750444.100827,221508
750444.117399,222594
750444.137356,223902
750444.154499,225025
750444.173305,226258
750444.193131,227557
750444.200877,228065
750444.220828,229372
750444.238501,230530
750444.252812,231468
750444.269222,232544
750444.287768,233759
750444.306265,234971
750444.321069,235942
750444.340029,237184
750444.360591,238532
750444.379361,239762
750444.396387,240878
750444.413301,241986
750444.420996,242490
750444.437609,243579
750444.453828,244642
750444.468879,245628
750444.488910,246941
750444.509184,248270
750444.529400,249595
750444.551187,251022
750444.571549,252357
750444.591083,253637
