id,start_timestamp,duration,end_timestamp,start_frame_index,index,end_frame_index,confidence,filter_response,base_data
1,753212.71242,0.24886599997989833,753212.961286,266,273,281,0.5863855012795043,0.5216859704851272 0.5496083219333121 0.6001133724383625 0.6506184229434131 0.7011234734484636 0.7156529039740197 0.7665025174912414 0.7937612387517257 0.844266289256776 0.8578699897886297 0.8551826823207542 0.7676715142034017 0.7659251583547979 0.7865505499874175 0.6962365958026637 0.6449098144487856 0.5513514138804497 0.45391401828852124 0.3700459181029344 0.2706252622455015 0.17800121264938926 0.08215417735214957 -0.018855923657951464 -0.07470062655432143 -0.1757107275644224 -0.2767208285745234 -0.3777309295846244 -0.4067897906357363 -0.5077998916458373 -0.5623173341668058 -0.663327435176907 -0.7458868612004094 -0.772002978587698 -0.7484957938681445 -0.7787626185822452 -0.8215285533626359 -0.7924157965082799 -0.7737804978688887 -0.7357052705408674 -0.6923456308721619 -0.6761245820161396 -0.6287984218164252 -0.5937848322223259 -0.5536059131429981,753212.71242 753212.719173 753212.723371 753212.729954 753212.7310649999 753212.7411389999 753212.742173 753212.750086 753212.752365 753212.760301 753212.7677109999 753212.768238 753212.778955 753212.780025 753212.788463 753212.792144 753212.801388 753212.804784 753212.811502 753212.81504 753212.821721 753212.830397 753212.83095 753212.841006 753212.84216 753212.854197 753212.85526 753212.8643809999 753212.867527 753212.878384 753212.884646 753212.889402 753212.901126 753212.9071579999 753212.910641 753212.918953 753212.925786 753212.928939 753212.932952 753212.936677 753212.942829 753212.950178 753212.95094 753212.9578719999
2,753218.428623,0.23584299988579005,753218.6644659999,563,569,575,0.5500333447534616,0.5149693035242834 0.565474354029334 0.6159794045343845 0.6664844550394349 0.6844832559494006 0.6967233179858122 0.7472283684908629 0.7685204661316227 0.7785977451550727 0.7604164102178296 0.7662570693593701 0.7367166341270729 0.6385707831459481 0.597624308498311 0.5113690964755104 0.4103589954654094 0.3093488944553084 0.20833879344520734 0.10732869243510629 0.006318591425005323 -0.04509543530147634 -0.14610553631157738 -0.20809542602322056 -0.30910552703332156 -0.4101156280434226 -0.5111257290535237 -0.547123330873455 -0.5720539215646717 -0.6730640225747728 -0.7156482178562928 -0.7358027759031925 -0.7334803096289254 -0.7565451216533596 -0.7528511990517948 -0.7080746486046968 -0.6876014112808784 -0.6666061387504284 -0.6161010882453779 -0.5655960377403274,753218.428623 753218.43623 753218.438933 753218.443473 753218.4470319999 753218.452557 753218.458212 753218.459514 753218.466529 753218.467163 753218.476536 753218.478577 753218.489224 753218.495646 753218.506151 753218.507662 753218.518957 753218.522697 753218.534324 753218.53523 753218.5461479999 753218.552897 753218.559747 753218.5708689999 753218.573004 753218.58504 753218.591209 753218.60187 753218.601994 753218.614646 753218.621652 753218.624428 753218.631822 753218.632018 753218.641081 753218.644401 753218.64912 753218.65399 753218.658392
3,753237.722161,0.20134599995799363,753237.923507,1488,1494,1500,0.4741106459294122,0.5177475892750032 0.5288188685506945 0.5818373716675334 0.6044018648469718 0.6133500486618038 0.6238391927703161 0.6344689187550212 0.6399497043175556 0.6312612707137488 0.6373807802517634 0.6162366827501821 0.5846257224648348 0.48361562145473386 0.38516681933036373 0.28620584472857963 0.18519574371847852 0.15219966929187337 0.05118956828177229 -0.01697367432322507 -0.11798377533332612 -0.17149178310055072 -0.27250188411065174 -0.37131393440022964 -0.3934564929516121 -0.4944665939617131 -0.5395955803205901 -0.557491947950254 -0.5784702361672786 -0.6063084273800132 -0.6172699985050822 -0.6227678767531235 -0.635006895829153 -0.6411327451339301 -0.6253272649912567 -0.5748222144862061,753237.722161 753237.726214 753237.731089 753237.736227 753237.738293 753237.744101 753237.746026 753237.7524979999 753237.7540429999 753237.763236 753237.7638279999 753237.775407 753237.784232 753237.78597 753237.799121 753237.800776 753237.81097 753237.814424 753237.824271 753237.83178 753237.8353179999 753237.847156 753237.849034 753237.859629 753237.864984 753237.871996 753237.88121 753237.8820699999 753237.891104 753237.898201 753237.899081 753237.908047 753237.908433 753237.915691 753237.920067
4,753242.577434,0.22083000000566244,753242.798264,1726,1731,1737,0.5347770386926474,0.5226268029336334 0.5731318534386839 0.5984740428639088 0.6159180402729155 0.6664230907779659 0.7169281412830164 0.7286277057633872 0.7378429858438681 0.7396017707927113 0.7392829123333686 0.7076878004078847 0.6592883881003799 0.6027596774716271 0.5698512147683608 0.4688411137582596 0.4309796515580516 0.3299695505479506 0.22895944953784952 0.18165747437430305 0.08064737336420202 -0.020362727645898904 -0.12095883225333653 -0.21823391356033342 -0.3168948088790295 -0.37071779372388686 -0.4038853697081769 -0.5048954707182779 -0.605905571728379 -0.6258176332979464 -0.6605681800045864 -0.6865632033074799 -0.7617804370209069 -0.7467289723854468 -0.7277040511810261 -0.6979119264696462 -0.6831657836171399 -0.6311970928942602 -0.612266361794156 -0.5612473386310061,753242.577434 753242.581566 753242.584471 753242.59043 753242.5914489999 753242.60034 753242.600986 753242.607651 753242.608813 753242.61426 753242.627661 753242.628934 753242.643041 753242.64451 753242.654686 753242.655873 753242.665325 753242.668356 753242.676258 753242.679125 753242.685464 753242.692137 753242.697831 753242.704084 753242.709351 753242.720853 753242.724202 753242.734744 753242.736444 753242.7465519999 753242.751533 753242.763602 753242.76727 753242.775056 753242.778233 753242.781979 753242.788979 753242.791304 753242.797271
5,753288.366025,0.2137489999877289,753288.579774,3803,3809,3815,0.5565576962928979,0.5224221158660878 0.5729271663711383 0.6234322168761888 0.6739372673812393 0.7244423178862897 0.7466638788334983 0.7488789627701303 0.759983907148569 0.7658313187717919 0.7411161324022524 0.7450331479644062 0.6629429278983743 0.646128328162806 0.5489876764021266 0.4484068101134694 0.3980952348732957 0.2970851338631947 0.19607503285309366 0.15675024501902293 0.05574014400892199 -0.04526995700117902 -0.14496894246702832 -0.24597904347712932 -0.344032946767849 -0.4450430477779499 -0.546053148788051 -0.6462191848110848 -0.6898962605860434 -0.7002290132143668 -0.7253645447843393 -0.7409963722212877 -0.734260011806224 -0.7420940429305317 -0.7294287543136192 -0.7222353918415859 -0.6794692398353788 -0.6289641893303282 -0.6038084017102413,753288.366025 753288.371684 753288.374278 753288.380314 753288.381083 753288.390358 753288.393149 753288.397464 753288.400992 753288.404016 753288.412676 753288.413701 753288.42074 753288.426741 753288.432648 753288.4434389999 753288.44792 753288.457853 753288.462786 753288.4738479999 753288.47385 753288.486731 753288.48794 753288.497995 753288.503351 753288.5124359999 753288.521821 753288.52413 753288.532089 753288.540314 753288.541911 753288.548862 753288.550081 753288.555962 753288.564944 753288.567728 753288.572532 753288.576918
