Timestamp,ID_Piloto,Volta,Tipo_Anomalia,Contexto_Pista,Duracao_Anomalia_s,Diam_Antes_mm,Diam_Durante_mm,Diam_Depois_mm,Delta_Diam_mm,Tipo_Resposta_Pupilar,TR_Pupila_s,TR_Steering_s,TR_Acelerador_s,TR_Freio_s,Primeiro_Sinal,N_Picos_Cognitivos,Intensidade_Media_Picos,N_Fixacoes,Dur_Media_Fixacao_ms,Fix_Curtas,Fix_Longas,Comportamento_Visual,Tempo_Reacao_Pupilar_s,Media_Tamanho_Pupilar,Crescimento_Pupilar_Derivada,Tempo_No_Escuro_s,Distancia_No_Escuro_m
64.0759,Rafa,1,B,Reta,1.3389,43.4824,41.5079,37.905,-1.9745,Contracao,1.9852,0.1,0.0,2.15,Acelerador,3,3.1195,29,160.3,4,0,Exploracao visual normal,-0.1706,41.7698,633.4772,0.2265,9.2874
3.3472,Rafa,1,C,Curva,7.7465,42.6185,43.2198,44.4738,0.6012,Dilatacao,0.5709,0.62,0.05,0.0,Freio,7,2.2525,51,178.4,6,0,Exploracao visual normal,-0.0564,43.5037,24669.4594,0.7015,26.7839
12.4326,Rafa,1,C,Reta,3.156,44.0101,43.0153,43.2853,-0.9949,Contracao,2.2155,0.0,2.78,2.78,Steering,7,1.0909,36,156.0,3,0,Exploracao visual normal,-0.5671,44.1693,1750.8588,0.0,0.0
16.3537,Rafa,1,C,Reta,0.7651,43.3427,43.8755,45.3109,0.5328,Dilatacao,0.3927,0.0,0.52,0.52,Steering,4,1.158,29,154.5,2,0,Exploracao visual normal,-0.131,44.5557,3302.3204,0.0,0.0
21.518,Rafa,1,C,Reta,2.3909,43.1691,43.1459,43.4682,-0.0232,Estavel,0.0,1.3441,1.3441,1.3441,Pupila,4,2.0538,46,131.4,15,0,Exploracao visual normal,-1.3521,43.9307,9439.1388,0.0,0.0
25.2478,Rafa,1,C,Curva,4.1123,42.6462,41.085,39.5647,-1.5612,Contracao,0.0,0.6857,0.3157,0.2757,Pupila,2,2.7132,51,157.1,13,0,Exploracao visual normal,-0.7635,41.0175,11459.2681,0.4656,19.4855
33.7594,Rafa,1,C,Curva,6.8858,43.0047,44.937,42.8089,1.9323,Dilatacao,0.0,2.9903,2.9903,2.9903,Pupila,0,0.0,64,160.5,15,0,Exploracao visual normal,-2.9997,43.303,5140.8829,0.442,19.4641
42.4622,Rafa,1,C,Curva,8.8941,43.5745,40.5073,42.2163,-3.0672,Contracao,2.216,0.0,2.51,2.56,Steering,2,1.1273,71,155.7,14,0,Exploracao visual normal,-0.3462,41.493,115629.19,0.1828,7.7964
52.504,Rafa,1,C,Curva,2.2953,42.4265,42.2849,42.7047,-0.1416,Estavel,2.6198,0.0,0.31,2.62,Steering,1,1.1628,35,171.8,3,0,Exploracao visual normal,-0.0041,42.8714,81117.88,0.0,0.0
55.6599,Rafa,1,C,Curva,1.8171,42.3159,45.4243,43.1027,3.1084,Dilatacao,2.1359,0.0,2.61,2.61,Steering,0,0.0,31,148.9,5,0,Exploracao visual normal,-0.484,43.1749,472.4226,0.0,0.0
58.6246,Rafa,1,C,Curva,17.7882,42.3384,41.2303,37.635,-1.1081,Contracao,2.1573,0.0,2.02,1.99,Steering,7,1.893,106,152.3,23,0,Exploracao visual normal,-0.3873,41.4122,101291.448,0.4535,15.6025
155.5335,Rafa,2,A,Curva,0.8679,46.0542,42.9406,43.6515,-3.1136,Contracao,0.0,2.3406,1.7406,1.7206,Pupila,1,1.1727,35,122.8,13,0,Exploracao visual normal,-2.464,45.3077,45167.3393,0.1842,5.3722
98.8288,Rafa,2,C,Curva,10.5116,37.9996,40.7589,44.8784,2.7593,Dilatacao,0.4729,0.67,0.05,0.0,Freio,2,0.9621,76,187.5,6,0,Exploracao visual normal,-0.2059,40.9685,8146.6054,0.676,23.7092
113.1979,Rafa,2,C,Reta,0.8679,45.9648,46.2948,44.9347,0.3299,Dilatacao,0.6034,0.0,1.2,1.2,Steering,0,0.0,34,144.9,9,0,Exploracao visual normal,-0.6045,44.8559,401.7155,0.1703,8.8632
116.6696,Rafa,2,C,Reta,3.761,44.0296,39.8907,40.4327,-4.1388,Contracao,0.0,0.6057,0.6057,0.6057,Pupila,4,3.5492,49,148.3,13,0,Exploracao visual normal,-0.6153,41.4095,5738.1481,0.4965,27.725
121.5878,Rafa,2,C,Curva,6.6541,40.0037,39.6348,42.7178,-0.3689,Contracao,0.0,0.6856,0.4656,0.4156,Pupila,6,3.7128,55,166.3,14,0,Exploracao visual normal,-0.6934,40.0581,11002.992,1.1848,51.5515
134.8961,Rafa,2,C,Curva,18.5158,44.5458,45.2098,48.0567,0.6641,Dilatacao,0.0,0.0253,0.0253,0.0253,Pupila,5,2.4075,124,147.0,37,0,Exploracao visual normal,-0.0313,45.3399,349015.3284,0.2913,12.9584
154.3762,Rafa,2,C,Curva,17.7443,48.2504,42.3939,39.9648,-5.8565,Contracao,2.145,0.0,2.14,2.14,Steering,2,6.0078,129,143.3,37,0,Exploracao visual normal,-0.0012,42.9716,722363.9537,1.2471,44.639
177.521,Rafa,2,C,Reta,2.1216,43.1604,44.8523,44.9735,1.6919,Dilatacao,0.0,2.9964,2.9964,2.9964,Pupila,0,0.0,42,156.0,13,0,Exploracao visual normal,-2.9974,42.3779,8328.2783,0.2394,9.9677
255.4729,Rafa,3,B,Reta,1.3284,39.8273,40.3907,34.9463,0.5633,Dilatacao,2.5187,0.0,0.06,2.52,Steering,0,0.0,29,167.7,3,0,Exploracao visual normal,-0.0042,39.5983,372.1735,0.5241,21.1828
194.9363,Rafa,3,C,Curva,11.2913,36.374,41.3699,45.6312,4.9959,Dilatacao,0.4238,0.47,0.04,0.0,Freio,2,1.0026,77,180.4,11,0,Exploracao visual normal,-0.0525,41.4016,16745.5034,0.8597,35.5449
217.0445,Rafa,3,C,Curva,7.9703,41.9633,40.3403,46.9255,-1.623,Contracao,0.0,0.7425,0.5525,0.5125,Pupila,3,2.061,63,181.6,8,0,Exploracao visual normal,-0.747,41.6543,27380.6865,1.1238,48.0797
230.0437,Rafa,3,C,Curva,17.7435,50.5447,42.9724,43.6401,-7.5724,Contracao,0.0,2.5497,2.5497,2.5497,Pupila,2,1.3968,119,157.1,29,0,Exploracao visual normal,-2.5534,43.7864,83760.1537,1.4346,51.8747
248.5463,Rafa,3,C,Curva,8.5396,43.8607,39.9157,36.9962,-3.945,Contracao,0.0443,0.0,2.25,2.25,Steering,0,0.0,66,168.3,10,0,Exploracao visual normal,-2.2119,40.2466,15810.6554,0.9178,30.3858
258.1296,Rafa,3,C,Curva,8.3499,37.011,42.1882,32.4574,5.1773,Dilatacao,0.6838,0.0,1.91,1.91,Steering,0,0.0,69,153.1,15,0,Exploracao visual normal,-1.2358,40.4077,19885.7798,1.2886,46.3866
273.5959,Rafa,3,C,Reta,1.613,40.3598,42.4288,42.3238,2.069,Dilatacao,0.0,2.843,2.993,2.993,Pupila,0,0.0,35,169.4,3,0,Exploracao visual normal,-2.9989,40.669,39767.6619,0.2291,10.0407
350.6753,Rafa,4,B,Reta,1.3368,43.4241,43.5795,42.6928,0.1554,Estavel,0.3663,0.3,0.0,2.68,Acelerador,1,1.6319,32,170.3,7,0,Exploracao visual normal,-2.319,42.4688,305.4654,0.0,0.0
289.851,Rafa,4,C,Curva,8.3072,35.6907,38.2753,41.0257,2.5846,Dilatacao,0.2162,0.41,0.03,0.0,Freio,6,3.7253,61,200.1,3,0,Exploracao visual normal,-0.1948,38.556,654095.7052,1.0732,40.8652
299.9725,Rafa,4,C,Curva,1.4323,41.1761,43.2936,42.3931,2.1174,Dilatacao,0.0,0.7152,0.8252,0.8252,Pupila,2,3.1525,32,191.8,2,0,Exploracao visual normal,-0.8276,41.6657,1579.527,0.2602,10.261
