# timestamps [seconds],pts
753208.087602,0
753208.179657,6032
753208.208543,7925
753208.226532,9104
753208.243931,10245
753208.260935,11359
753208.273756,12199
753208.289992,13263
753208.306551,14348
753208.322263,15378
753208.339688,16520
753208.353823,17446
753208.373801,18756
753208.390207,19831
753208.407746,20980
753208.424171,22057
753208.442602,23264
753208.460740,24453
753208.479899,25709
753208.497002,26830
753208.505843,27409
753208.523268,28551
753208.571317,31700
753208.597642,33425
753208.605813,33960
753208.625538,35253
753208.643743,36446
753208.662691,37688
753208.679629,38798
753208.698110,40009
753208.705811,40514
753208.725779,41822
753208.744330,43038
753208.762835,44251
753208.780635,45417
753208.799106,46628
753208.818309,47886
753208.836875,49103
753208.855082,50296
753208.872764,51455
753208.892123,52724
753208.910183,53907
753208.929701,55186
753208.946989,56319
753208.963219,57383
753208.973815,58077
753208.994011,59401
753209.013036,60648
753209.029665,61738
753209.048679,62984
753209.064785,64039
753209.077741,64888
753209.094655,65997
753209.109849,66992
753209.127124,68125
753209.144667,69274
753209.161778,70396
753209.178145,71468
753209.195714,72620
753209.210252,73572
753209.227754,74719
753209.245321,75871
753209.262537,76999
753209.277783,77998
753209.294721,79108
753209.312932,80302
753209.330435,81449
753209.347431,82562
753209.362955,83580
753209.377927,84561
753209.395832,85734
753209.409978,86661
753209.429687,87953
753209.446240,89038
753209.463832,90191
753209.480990,91315
753209.496968,92362
753209.514134,93487
753209.530026,94529
753209.545927,95571
753209.562511,96658
753209.580875,97861
753209.599767,99099
753209.618361,100318
753209.635278,101426
753209.645868,102120
753209.661934,103173
753209.679420,104319
753209.697613,105512
753209.715113,106658
753209.732796,107817
753209.749133,108888
753209.762092,109737
753209.782306,111062
753209.798815,112144
753209.816098,113276
753209.832315,114339
753209.846042,115239
753209.862818,116338
753209.882239,117611
753209.900057,118779
753209.914308,119713
753209.931720,120854
753209.949889,122044
753209.967831,123220
753209.984689,124325
753209.998094,125204
753210.016008,126378
753210.032375,127450
753210.049881,128597
753210.067838,129774
753210.084855,130889
753210.097975,131749
753210.114787,132851
753210.129893,133841
753210.150126,135167
753210.166523,136242
753210.183741,137370
753210.197805,138292
753210.214264,139370
753210.233875,140656
753210.251175,141789
753210.265879,142753
