piloto,volta_num,anom_num,tipo,ini_pct,fim_pct,t_ini_volta,t_fim_volta,t_sync_m
Humberto,1,1,A,52.852852852852855,55.65565565565566,-111.050005,-0.0100049999999924,111.050005
Humberto,1,2,B,15.715715715715717,22.922922922922925,-111.050005,-0.0100049999999924,111.050005
Humberto,1,3,B,37.03703703703704,40.44044044044044,-111.050005,-0.0100049999999924,111.050005
Humberto,1,4,B,46.84684684684685,48.84884884884885,-111.050005,-0.0100049999999924,111.050005
Humberto,1,5,B,58.45845845845846,59.45945945945946,-111.050005,-0.0100049999999924,111.050005
Humberto,1,6,B,65.96596596596596,67.46746746746747,-111.050005,-0.0100049999999924,111.050005
Humberto,1,7,B,68.56856856856858,69.46946946946947,-111.050005,-0.0100049999999924,111.050005
Humberto,1,8,B,71.07107107107107,75.07507507507508,-111.050005,-0.0100049999999924,111.050005
Humberto,1,9,B,88.0880880880881,89.1891891891892,-111.050005,-0.0100049999999924,111.050005
Humberto,1,10,C,0.4004004004004004,3.3033033033033035,-111.050005,-0.0100049999999924,111.050005
Humberto,1,11,C,4.3043043043043046,7.207207207207207,-111.050005,-0.0100049999999924,111.050005
Humberto,1,12,C,9.80980980980981,23.823823823823826,-111.050005,-0.0100049999999924,111.050005
Humberto,1,13,C,32.632632632632635,41.24124124124124,-111.050005,-0.0100049999999924,111.050005
Humberto,1,14,C,44.44444444444445,75.27527527527528,-111.050005,-0.0100049999999924,111.050005
Humberto,1,15,C,77.27727727727728,82.28228228228228,-111.050005,-0.0100049999999924,111.050005
Humberto,1,16,C,85.78578578578579,89.6896896896897,-111.050005,-0.0100049999999924,111.050005
Humberto,1,17,C,91.991991991992,93.1931931931932,-111.050005,-0.0100049999999924,111.050005
Humberto,11,1,B,52.052052052052055,53.153153153153156,-5.000000001587068e-06,99.989995,111.050005
Humberto,11,2,B,68.56856856856858,72.17217217217218,-5.000000001587068e-06,99.989995,111.050005
Humberto,11,3,C,2.802802802802803,10.810810810810812,-5.000000001587068e-06,99.989995,111.050005
Humberto,11,4,C,11.711711711711713,17.51751751751752,-5.000000001587068e-06,99.989995,111.050005
Humberto,11,5,C,26.926926926926928,36.83683683683684,-5.000000001587068e-06,99.989995,111.050005
Humberto,11,6,C,39.23923923923924,72.47247247247248,-5.000000001587068e-06,99.989995,111.050005
Humberto,11,7,C,73.67367367367368,79.87987987987988,-5.000000001587068e-06,99.989995,111.050005
Humberto,11,8,C,81.68168168168168,83.08308308308308,-5.000000001587068e-06,99.989995,111.050005
Humberto,11,9,C,84.38438438438439,88.4884884884885,-5.000000001587068e-06,99.989995,111.050005
Humberto,21,1,B,48.04804804804805,48.84884884884885,99.999995,200.089995,111.050005
Humberto,21,2,B,52.052052052052055,53.153153153153156,99.999995,200.089995,111.050005
Humberto,21,3,B,58.45845845845846,59.25925925925926,99.999995,200.089995,111.050005
Humberto,21,4,B,68.56856856856858,72.47247247247248,99.999995,200.089995,111.050005
Humberto,21,5,C,4.2042042042042045,16.616616616616618,99.999995,200.089995,111.050005
Humberto,21,6,C,26.826826826826828,35.93593593593594,99.999995,200.089995,111.050005
Humberto,21,7,C,39.43943943943944,60.06006006006007,99.999995,200.089995,111.050005
Humberto,21,8,C,60.96096096096097,68.96896896896898,99.999995,200.089995,111.050005
Humberto,21,9,C,69.96996996996998,80.48048048048048,99.999995,200.089995,111.050005
Humberto,21,10,C,84.28428428428428,88.58858858858859,99.999995,200.089995,111.050005
Rafa,1,1,A,53.653653653653656,55.65565565565566,-105.75,-0.0100000000000051,105.75
Rafa,1,2,B,15.815815815815817,22.822822822822825,-105.75,-0.0100000000000051,105.75
Rafa,1,3,B,36.03603603603604,38.43843843843844,-105.75,-0.0100000000000051,105.75
Rafa,1,4,B,39.23923923923924,40.34034034034034,-105.75,-0.0100000000000051,105.75
Rafa,1,5,B,46.74674674674675,48.64864864864865,-105.75,-0.0100000000000051,105.75
Rafa,1,6,B,58.45845845845846,59.45945945945946,-105.75,-0.0100000000000051,105.75
Rafa,1,7,B,65.96596596596596,67.46746746746747,-105.75,-0.0100000000000051,105.75
Rafa,1,8,B,68.56856856856858,69.46946946946947,-105.75,-0.0100000000000051,105.75
Rafa,1,9,B,70.77077077077078,74.87487487487488,-105.75,-0.0100000000000051,105.75
Rafa,1,10,C,11.311311311311313,23.323323323323326,-105.75,-0.0100000000000051,105.75
Rafa,1,11,C,25.225225225225227,27.32732732732733,-105.75,-0.0100000000000051,105.75
Rafa,1,12,C,32.532532532532535,39.13913913913914,-105.75,-0.0100000000000051,105.75
Rafa,1,13,C,41.54154154154154,44.44444444444445,-105.75,-0.0100000000000051,105.75
Rafa,1,14,C,46.24624624624625,63.56356356356357,-105.75,-0.0100000000000051,105.75
Rafa,1,15,C,64.66466466466467,76.07607607607608,-105.75,-0.0100000000000051,105.75
Rafa,1,16,C,76.97697697697699,81.98198198198199,-105.75,-0.0100000000000051,105.75
Rafa,1,17,C,83.08308308308308,86.0860860860861,-105.75,-0.0100000000000051,105.75
Rafa,1,18,C,89.0890890890891,90.2902902902903,-105.75,-0.0100000000000051,105.75
Rafa,11,1,B,47.44744744744745,48.44844844844845,0.0,95.54,105.75
Rafa,11,2,B,68.56856856856858,71.87187187187187,0.0,95.54,105.75
Rafa,11,3,C,3.5035035035035036,11.611611611611613,0.0,95.54,105.75
Rafa,11,4,C,13.013013013013014,16.316316316316318,0.0,95.54,105.75
Rafa,11,5,C,17.117117117117118,17.91791791791792,0.0,95.54,105.75
Rafa,11,6,C,22.522522522522525,25.025025025025027,0.0,95.54,105.75
Rafa,11,7,C,26.426426426426428,30.730730730730734,0.0,95.54,105.75
